"Date","Price","Open","High","Low","Vol.","Change %"
"01-04-2026","80.8103","75.1300","83.0686","69.5548","","7.56%"
"01-03-2026","75.1300","95.5098","96.4400","60.9700","","-19.94%"
"01-02-2026","93.8431","81.8845","94.1950","64.0571","","10.79%"
"01-01-2026","84.7040","71.2950","121.6700","71.2950","","18.81%"
"01-12-2025","71.2928","56.3523","83.6450","56.1809","","26.39%"
"01-11-2025","56.4050","48.6620","56.5509","46.8700","","15.88%"
"01-10-2025","48.6750","46.6700","54.4962","45.5431","","4.24%"
"01-09-2025","46.6950","39.7050","47.1950","39.5160","","17.63%"
"01-08-2025","39.6950","36.7418","40.0050","36.3498","","7.97%"
"01-07-2025","36.7650","36.1044","39.5452","35.7961","","1.83%"
"01-06-2025","36.1050","33.0397","37.3350","32.9515","","9.43%"
"01-05-2025","32.9950","32.6455","33.7250","31.6397","","1.15%"
"01-04-2025","32.6200","34.1021","34.2350","28.1583","","-4.33%"
"01-03-2025","34.0950","31.1519","34.5999","31.1143","","9.43%"
"01-02-2025","31.1561","31.3793","33.4350","30.6570","","-0.49%"
"01-01-2025","31.3097","28.9215","31.7496","28.8689","","8.44%"
"01-12-2024","28.8738","30.6515","32.3832","28.7376","","-5.64%"
"01-11-2024","30.6000","32.6180","33.1400","29.6344","","-6.28%"
"01-10-2024","32.6500","31.1250","34.8950","30.1143","","4.82%"
"01-09-2024","31.1500","28.8489","32.7350","27.6759","","7.99%"
"01-08-2024","28.8447","29.0225","30.2090","26.4345","","-0.67%"
"01-07-2024","29.0400","29.1347","31.7568","27.3100","","-0.30%"
"01-06-2024","29.1276","30.4340","31.5511","28.5634","","-4.11%"
"01-05-2024","30.3750","26.2930","32.5146","26.0100","","15.58%"
"01-04-2024","26.2800","25.0000","29.8054","24.7396","","5.23%"
"01-03-2024","24.9738","22.6691","25.7869","22.4972","","10.17%"
"01-02-2024","22.6677","22.9179","23.5150","21.9277","","-1.08%"
"01-01-2024","22.9156","23.8096","24.1075","21.9209","","-3.55%"
"01-12-2023","23.7600","25.2700","25.8829","22.5000","","-5.90%"
"01-11-2023","25.2487","22.9601","25.2969","21.8650","","10.26%"
"01-10-2023","22.9000","22.1827","23.7100","20.6802","","3.34%"
"01-09-2023","22.1600","24.4023","24.8302","22.1058","","-9.31%"
"01-08-2023","24.4350","24.7480","25.0243","22.2157","","-1.35%"
"01-07-2023","24.7700","22.7785","25.2871","22.5220","","8.87%"
"01-06-2023","22.7521","23.5455","24.5374","22.0993","","-3.09%"
"01-05-2023","23.4775","25.1623","26.1458","22.6722","","-6.23%"
"01-04-2023","25.0363","24.1300","26.1072","23.5631","","4.00%"
"01-03-2023","24.0730","20.9146","24.1750","19.8923","","15.11%"
"01-02-2023","20.9124","23.7250","24.6472","20.4142","","-11.76%"
"01-01-2023","23.6994","23.9700","24.5750","22.7500","","-1.11%"
"01-12-2022","23.9652","22.1982","24.3350","22.0146","","7.98%"
"01-11-2022","22.1948","19.1655","22.2850","18.8200","","15.96%"
"01-10-2022","19.1404","19.0200","21.2550","18.0800","","0.74%"
"01-09-2022","19.0000","17.9750","20.0271","17.5548","","5.73%"
"01-08-2022","17.9700","20.3230","20.8950","17.9200","","-11.56%"
"01-07-2022","20.3200","20.2724","20.3750","18.1315","","0.36%"
"01-06-2022","20.2465","21.5635","22.5350","20.2000","","-5.98%"
"01-05-2022","21.5350","22.7700","23.2950","20.4597","","-5.30%"
